Period2,Period,unmanured,fym,pkn1,fymn,highest,,,,,,,1844,1852,1848,8,Old Red,#ffebe6,"'Old Red',","12,"
1852-1861,1857,1.12,2.41,2.52,,,,,,,,,1853,1881,1867,28,Red Rostock,#ffffcc,"'Red Rostock',","12,"
1862-1871,1867,1.03,2.67,2.92,,,,,,,,,1882,1899,1890.5,17,Red Club,#ffe6f0,"'Red Club',","12,"
1872-1881,1877,0.72,2.05,2.23,,,,,,,,,1900,1904,1902,4,Squareheads Masters,#fff5e6,"'Squareheads Masters',","12,"
1882-1891,1887,0.87,2.66,2.71,,,,,,,,,1905,1905,1905,1,Giant Red,#f0f0f5,"'Giant Red',","12,"
1892-1901,1896,0.89,2.85,2.79,,,,,,,,,1906,1909,1907.5,3,,#fff5e6,"'',","12,"
1902-1911,1907,0.8,2.62,2.76,,,,,,,,,1910,1910,1910,1,Browick Red,#f0f0f5,"'Browick Red',","12,"
1912-1921,1917,0.67,2.10,2.07,,,,,,,,,1911,1912,1911.5,1,Little Joss,#f0f0f5,"'Little Joss',","12,"
1922-1925,1924,0.39,1.64,1.62,,,,,,,,,1913,1916,1914.5,3,,#fff5e6,"'',","12,"
1926-1934,1930,1.02,2.06,2.18,,,,,,,,,1917,1928,1922.5,11,Red Standard,#f2e6ff,"'Red Standard',","12,"
1935-1944,1940,1.31,2.61,2.61,,,,,,,,,1929,1929,1929,1,,#fff5e6,"'',","12,"
1945-1954,1950,1.36,2.96,2.85,,,,,,,,,1930,1939,1934.5,9,,#f2e6ff,"'',","12,"
1955-1964,1960,1.58,2.97,2.85,,,,,,,,,1940,1941,1940.5,2,,#fff5e6,"'',","12,"
1965-1967,1966,1.63,3.39,3.34,,,,,,,,,1942,1942,1942,1,Stand up,#f0f0f5,"'Stand up',","12,"
1968-1978,1973,1.63,5.61,5.23,6.17,6.13,,,,,,,1943,1943,1943,1,,#fff5e6,"'',","12,"
197919-84,1982,1.58,6.40,6.49,8.52,8.12,,,,,,,1944,1945,1944.5,2,,#f2e6ff,"'',","12,"
1985-1990,1988,1.14,6.17,6.24,9.36,8.76,,,,,,,1946,1967,1956.5,21,,#fff5e6,"'',","12,"
1991-1995,1993,0.89,6.31,6.46,9.44,8.80,,,,,,,1968,1968,1968,1,Capelle,#f0f0f5,"'Capelle',","12,"
1996-2004,2000,0.80,4.95,5.38,8.77,9.22,,,,,,,1969,1978,1973.5,9,Desprez,#e6fff2,"'Desprez',","12,"
2005-2012,2009,0.78,5.22,5.30,9.58,9.16,,,,,,,1979,1984,1981.5,5,Flanders,#e6f9ff,"'Flanders',","12,"
2013-2016,2015,1.17,4.9,6.08,10.77,11.21,,,,,,,1985,1986,1985.5,2,Brimstone,#ebfaeb,"'Brimstone',","12,"
,,,,,,,,,,,,,1987,1990,1988.5,3,Brimstone + Squareheads Masters,#ebfaeb,"'Brimstone + Squareheads Masters',","12,"
,,,,,,,,,,,,,1991,1995,1993,4,Apollo,#e6e6ff,"'Apollo',","12,"
,,,,,,,,,,,,,1996,2012,2004,16,Hereward,#f5e6ff,"'Hereward',","12,"
,,,,,,,,,,,,,2013,2014,2013.5,2,Crusoe,#e6f0ff,"'Crusoe',","12,"
,,,,,,,,,,,,,2015,2015,2015,1,Milka,#f2ffe6,"'Milka',","12,"
,,,,,,,,,,,,,2016,2016,2016,1,,#e6f0ff,"'',","12,"
