Rothamsted 30-year mean weather data 1981-2010,,,,,,,,,
,,,,,,,,,
Month,Total rain ,Total sunshine,Mean maximum temperature,Mean minimum temperature,Mean average temperature ,  Mean soil temperature 30 cm under grass, Mean soil temperature 100 cm under grass,Mean wind speed,Mean daily radiation
,mm,hours, ºC, ºC,ºC,ºC,ºC,km/hour,J/cm2
,5 inch,,,,,,,,
January,70.0,62.0,6.7,1.2,3.95,4.6,6.8,10.4,245.1
February,50.1,80.3,6.9,0.9,3.92,4.5,6.2,10.5,472.2
March,50.8,114.9,9.9,2.7,6.28,6.0,6.4,10.3,824.3
April,55.1,161.2,12.6,4.0,8.33,8.5,7.9,9.0,1299.7
May,54.7,194.6,16.1,6.9,11.47,12.0,10.1,7.9,1632.1
June,53.3,198.2,19.1,9.8,14.45,15.1,12.5,6.8,1795.6
July,49.9,205.2,21.8,11.9,16.83,17.1,14.5,6.4,1729.2
August,63.7,196.2,21.6,11.8,16.71,17.1,15.4,6.5,1478.5
September,57.6,143.4,18.3,9.9,14.10,14.9,14.9,7.0,1032.3
October,81.7,111.7,14.0,7.1,10.58,11.8,13.2,7.8,608.7
November,76.6,70.7,9.7,3.8,6.76,8.3,10.8,8.3,311.5
December,69.5,53.8,6.9,1.7,4.27,5.7,8.4,9.4,189.2
,,,,,,,,,
Year (Total or Mean),733.0,1592.3,13.6,6.0,9.80,10.5,10.6,8.4,968.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
